processed_utterance,processed_tags,intent,category
would possible cancel order made,bip,cancel_order,ORDER
cancelling order,bk,cancel_order,ORDER
need assistance canceling last order made,b,cancel_order,ORDER
problem canceling order made,b,cancel_order,ORDER
know cancel order made,b,cancel_order,ORDER
help cancel order made,bi,cancel_order,ORDER
would like know order cancellation,bmp,cancel_order,ORDER
could help cancelling order,bip,cancel_order,ORDER
know cancel order made,b,cancel_order,ORDER
help cancelling last order,b,cancel_order,ORDER
know cancel last order made,,cancel_order,ORDER
need assistance canceling order made,b,cancel_order,ORDER
information canceling order,b,cancel_order,ORDER
would like cancel order,bp,cancel_order,ORDER
need assistance cancelling order,bm,cancel_order,ORDER
need assistance canceling order made,b,cancel_order,ORDER
assistance canceling order made,b,cancel_order,ORDER
question cancelling last order,b,cancel_order,ORDER
help cancel last order,b,cancel_order,ORDER
problem cancelling order,bm,cancel_order,ORDER
problem cancelling order,bm,cancel_order,ORDER
assistance cancelling order made,b,cancel_order,ORDER
need help cancelling order made,b,cancel_order,ORDER
problem cancelling order,bm,cancel_order,ORDER
want pay order made,,cancel_order,ORDER
problem cancelling order,bm,cancel_order,ORDER
problem canceling order,bm,cancel_order,ORDER
get information canceling order,bim,cancel_order,ORDER
want assistance cancelling order made,b,cancel_order,ORDER
cancel order,bk,cancel_order,ORDER
find information order cancelations,bm,cancel_order,ORDER
give information cancelling order,bim,cancel_order,ORDER
question cancelling last order,b,cancel_order,ORDER
know cancel last order,b,cancel_order,ORDER
problem canceling last order,bm,cancel_order,ORDER
problem cancelling order made,b,cancel_order,ORDER
need help canceling last order made,b,cancel_order,ORDER
find information cancelling order,bim,cancel_order,ORDER
want know order cancelations,bm,cancel_order,ORDER
want help cancel order made,b,cancel_order,ORDER
want assistance canceling order,b,cancel_order,ORDER
help cancel last order made,bi,cancel_order,ORDER
give information cancelling order,bm,cancel_order,ORDER
help cancelling order,b,cancel_order,ORDER
question canceling order,b,cancel_order,ORDER
help canceling last order,b,cancel_order,ORDER
would possible cancel order,bip,cancel_order,ORDER
could get information cancelling order,bip,cancel_order,ORDER
could help cancelling order made,bip,cancel_order,ORDER
get information canceling order,bi,cancel_order,ORDER
cancel last order,b,cancel_order,ORDER
question canceling order,b,cancel_order,ORDER
assistance cancelling order,b,cancel_order,ORDER
problem canceling order made,bm,cancel_order,ORDER
help canceling last order,b,cancel_order,ORDER
help canceling order,b,cancel_order,ORDER
try cancel order made,b,cancel_order,ORDER
need cancel order,b,cancel_order,ORDER
could help cancelling last order made,bip,cancel_order,ORDER
could cancel order made,bip,cancel_order,ORDER
